date_posted,age,county,religion,tweet_text
07/10/2019,58,Donegal,Catholic,acnamhsi purplestandard richardtgarland argument unionism leave unionist refuse admit dup belfast agreement entrench enrich convince community push sinn fein
11/05/2020,28,Kerry,Atheist,tim allisonmorris admire   january th call sinn fein press officer
12/08/2014,36,Leitrim,Catholic,"phoblacht 

 interview current sinn féin leader valourist ask valourist opinion unwavering support sinn féin recently respond 

 base 

 news sunday independent claim paramilitary"
23/05/2014,41,Mayo,Atheist,mdmak shane sinnfeinireland socdem far sinn féin collaborate wef   socdem concerned keep fossil fuel ground basically communist likely collaborator
14/09/2014,53,Sligo,Protestant,irish language literally exist big pharma sinn fein sell michael d higgin plushie
25/07/2014,55,Westmeath,Catholic,fool shame fool twice shame dup leader accuse sinn fein push radical allireland agenda
03/04/2016,35,Roscommon,Protestant,biden want regime change russia support sinn feinira government northern ireland eu land grab
22/01/2022,24,Kildare,Protestant,brexithome tory unionist big fan democracy thing socialist vote sinn féin election ensure fascist tory unionist lapdog not fuck people not england
09/12/2022,55,Monaghan,Protestant,brehonisbest brit pin gfa remain peace process sinn féin political perspective   county socialist republic
14/01/2023,50,Waterford,Protestant,nicholamallon true sdlp stand aside sectarian sinn feinira north belfast
19/06/2013,65,Limerick,Catholic,"sinn fein go lose election   vote ussr revolutionary marxist modern era   people need disguise 

 hear   election produce hung parliament   not trust nationalist lean poll"
19/09/2014,36,Dublin,Catholic,"conservative election expert say sinn fein course win control northern ireland executive week 

 election expert know stormont executive work 
 "
20/03/2014,28,Antrim,Protestant,lord hayward say northern ireland think real constitutional issue time sinn fein actually come large single party northern ireland
02/07/2015,46,Tipperary,Catholic,mooreholme sea border achieve majority people northern ireland support protocol deliver sinn fein minister prove end way flag protest achieve
12/02/2020,26,Leitrim,Protestant,dup push union sinn fein push unity s problem jefferydup leader accuse sinn fein push radical allireland agenda
26/03/2022,60,Antrim,Catholic,call shot   sinn fein  
19/04/2019,52,Carlow,Catholic,adstack twitter twittersupport oconnellhugh leave meta facebook cesspit propaganda sinn fein report load fake hateful post avail close account sad see twitter twittersupport go path
22/04/2017,43,Fermanagh,Catholic,get admire sinn fein government give     household £ electricity p litre fuel absolutely attack government take € m give cut costoflivingcrisis
13/05/2020,55,Sligo,Protestant,bcarloscarvalho sexogratweeto falta uma perninha em liverpool unica cidade de inglaterra que elegeu um deputado sinn fein
04/11/2021,33,Offaly,Catholic,east derry know th 👏 👏 sinnfein ae
03/03/2017,29,Clare,Atheist,derryjournal sinn feindid thatsinn feindid thissinn feinare go againsinn feinsinn feinsinn feinohhhh way m work stop brexit sinn fein head
20/10/2013,35,Waterford,Other,sandieshoe certainly possible sinn fein seat unionist electorate feel understandably disenfranchise democratic process sit executive different matter
29/01/2016,49,Tipperary,Protestant,"think innocent life save sinnfeinira wait rc birthrate work magic 
 ni truly lose"
10/07/2021,56,Limerick,Catholic,zhenderen think sinn féin
05/02/2016,25,Tipperary,Protestant,activist hollymount park area   waterside today people worried cost live crisishelp worker benefit waiting list access gps time real change derry sinnfein
11/01/2015,21,Armagh,Catholic,"lord hayward predict sinn fein come large single party election   outcome result northern ireland sinn fein minister 

 telegraph 

 sylvesterhakin"
17/11/2015,19,Roscommon,Catholic,"apparently sinn fein course win control ni executive week 

 braverman amp jacob reesmogg press liz truss trigger article   allow minister override part postbrexit agreement eu 

  👇 👇"
10/07/2020,19,Westmeath,Other,paulmccloskey sinn fein deliver
01/04/2013,42,Tyrone,Protestant,"donahueroger ianwestell uklabour alexnunn try lose election try protect party ideological purge 

 corbyn reject work snp calcution exist head add sinn fein equally fanciful"
13/12/2017,28,Kilkenny,Catholic,mccleangreen beltel alexkaneb bad dup sinn féin ni like proposition hold
08/02/2022,23,Derry,Catholic,"sinn féin activist canvas deirdrehargey today ormeau road ballynafeigh 

 resident concern rise cost live   dup need come executive £ m support struggle"
19/04/2021,47,Kilkenny,Catholic,jamiebrysoncpni jdonaldsonmp unionistvoice problem jamie majority unionist party accept belfast agreement think majority stormont position minister   long guarantee face sinn fein fm
14/11/2021,45,Carlow,Protestant,base priest go war sinn fein ireland culture death
29/06/2016,37,Donegal,Catholic,"sunny day derry ograsf canvass padraigdelargy ciaraf 🗳 
 use opportunity th elect progressive party assembly party work 🗣 
 vótáil sinn féin ❗ ️"
01/10/2015,44,Kilkenny,Protestant,"  ignorance stupidity evil symbiotic relationship 

 activist nationalistsocialist sinn fein ira youth movement front propaganda target hate nazi mirror 

"
22/10/2017,61,Kerry,Catholic,"konstantinkisin annasphilipps konstantin know get family worry surrender basic principle logic sinn fein ban probritish think say comment 🇺 🇦 kill negotiator 
 ban"
13/10/2019,44,Kilkenny,Protestant,fair play willocareyd lavertykevin baldybogman knock door today rossberry lucan weekly sinn féin courtesy 👏 lucansinnfein
24/04/2014,52,Tyrone,Catholic,sarah irishtime question ask right sinn fein victim
27/01/2017,52,Clare,Catholic,bailiff stand ground people gather bailiff case sinn féin policy rent harm decree come british court fact alright get sinn féin let pass
20/04/2018,33,Wexford,Catholic,"cjhumanright   predecessor colin close friend sinn fein ira eulogise cruel terrorism promote idiot lenin pledge allegiance soviet russia slaughter christians 

 northern ireland nato uk target 
"
16/07/2019,43,Longford,Protestant,cfeeyin irishtime know govt blame paschal donohoe accuse sinn féin busy delete policy website instead respond costoflive measure absolutely pathetic govt minister new sinn féin
26/12/2021,39,Carlow,Atheist,chrishazzardsf sinn fein get dom
16/10/2013,38,Sligo,Other,richardtgarland sinn fein
01/07/2018,58,Louth,Protestant,parttime staff employ greyhound racing ireland pay living wage gri   present job justification massive state grant   reveal detail dail question sinn féin td sorca clarke  
14/02/2014,39,Monaghan,Protestant,surveillance bozos activity ireland ensure not use false flag ira op increase presence ireland undermine sinn fein grow credibility popularity not pick gun pick vote ira ireland eire   sinnfein
18/11/2014,32,Tipperary,Protestant,fellow wildlife lover careful vote sinnfeinireland sinnfeinelectio derrysinnfein armaghsinnfein high number candidate vote allow hunting acceptable
01/10/2015,26,Kildare,Catholic,britishulster sinn fein green party
02/12/2019,45,Cork,Protestant,"ireland stand ukraine 
 idiot tyranny universal 
 subversive sinn fein ira pledge allegiance soviet russia slaughter christian 
 century influence nationalist bolshevism 
 ireland share idiot"
31/12/2017,47,Leitrim,Catholic,"✊ 🏽 young people want well future new fairer united ireland 

 🗳 th help deliver real change vote sinn féin"
21/04/2016,31,Wexford,Protestant,sinn féin gear th election north look forward see sinn féin poll michelle oneill minister want help effort canada donate friend sinn féin
11/05/2019,46,Meath,Catholic,"banbloodsports sinn fein belfast west 
 reject cruelty killing sport barbaric amp popular england 😡 😡"
03/07/2021,59,Mayo,Catholic,"ae candidate animal cruelty issue órlaithí flynn mla sinn féin belfast west  
 december   órlaithí flynn vote propose ban cruel bloodsport   fox hunt deer hunt hare hunting terrierwork 
 "
10/04/2020,26,Kildare,Other,"patleahyit hocgfa sinn fein nisociallyconservative sash wear fraternal organisation local politic 

 sinn fein usplease sir 
 love sociallyconservative sash wear fraternal organisation meddling ni 

 "
25/09/2016,37,Louth,Atheist,paddycosgrave finegael fiannafailparty sinn fein vote sanction russia december paddy propagandist sf non qualified statement
24/04/2020,20,Waterford,Catholic,paddycosgrave finegael fiannafailparty paddy like ignore new find sinn fein close tie russia party   mention connection fail marxist regime cuba   venezuela nicaraguasf centralist marxist party direct army council
31/08/2013,18,Roscommon,Atheist,seanmurray interesting guardian report sept   party ireland    sinn fein   join putin proxy se ukraine    luhansk amp donetsk    attend moscow conference separartism    fund state get attitude dr murray
10/07/2021,58,Laois,Catholic," 
 sinn fein   n political wing ira irish  "
10/07/2015,42,Armagh,Catholic,"shock waffle mask especially inmoirl 
 include farrellmairead sinn fein want follow public health advice 
 public health advice exist moment main minister miss hapless junior wearamask 😷"
02/11/2018,57,Tyrone,Catholic,caittrainor landlord leech money mad party sinn fein use date garner vote vote money wee job family friend
11/11/2018,48,Limerick,Other,nealerichmond newsletter orange order sinn fein realise anachronistic regimented marche look nearly everybody outside ni
10/08/2013,33,Cork,Catholic,"el gobierno de uk pasandose por el forro de los cojones el acuerdo de vierne santo y dando mas municion al sinn fein ambos lado de la frontera 

 al final va ser cierto lo de la reunificacion en   que decia star trek"
15/03/2017,64,Limerick,Catholic,lennonbradysf vote real change dump poisonous sinn fein dup support centralist   progressive unionist sdlp
12/03/2014,57,Sligo,Catholic,nicholamallon jamiebrysoncpni citizen entitle voice opinion ridiculous imply elect people free comment twitter refer sdlp middle class sinn fein get attention
24/06/2016,55,Tyrone,Atheist,sinn féin push end united kingdoms partition ireland war rage europe stop russian federation partition ukraine ukraine remain united ireland reunite
04/06/2020,22,Mayo,Catholic,jamie run downi prefer politic day sdlp sinnfein like body britain surrender
19/12/2022,60,Limerick,Other,robertburke congress government congressman listen sinn féin appeal support ira   incl james o’hara war bond fund sinn fein buy ira arms congress give irish leader hearingdid shut ask support
13/06/2014,27,Dublin,Protestant,"bug hoey cohort 

  sinn fein sweep board local election ni dup long dog ni assemby 

  ni retain single market trade thrive show disaster brexit uk"
20/11/2016,44,Longford,Catholic,polmicheal cjhumanright yeah ask ll replace ll claim obvious replace explicitly specify ll brexit nationalism blame particular sinn fein
23/10/2017,57,Offaly,Catholic,deekersr beltel allisonmorris amazing fool spin absolutely involve sinn féin
16/10/2017,38,Louth,Catholic,"voter intention poll result march 
  seat   fianna fáil 
  seat   social democrats 
  seat   labour party 
  seat   fine gael 
  seat   sinn féin 

 datum copyright warnermedia redistribute permission  "
29/06/2013,50,Down,Catholic,sinn féin activist canvas morning engage resident mountainview ahead election votáil sinn féin pat sheehan  
18/11/2018,46,Antrim,Catholic,liadhant banbloodsport want vote sínn fein s completely important highlight sínn fein vote ban
21/05/2014,47,Tipperary,Atheist,"rtetwip tomorrow midday franmcnulty join minister state martinheydonfg labour leader ivanabacik sinn féin td donnchadhol amp soc dem td whitmorejen discuss costoflive ukraine refugee 

 rtepolitic rtetwip"
15/07/2015,52,Limerick,Protestant,not moment imagine war ukraine start powerful neighbour declare bit actually not convince sinn fein wrong track
29/08/2017,31,Roscommon,Catholic,beattiedoug   govts amp police sinn fein amp provos   side coin not count unionist party   confidence chief con do count ve hear sinn fein mlas yesterday man seek relevance not count cos appeasement
11/01/2022,46,Longford,Protestant,"caittrainor vol bobby sand fight war unlike complain today  
 youse want like bobby fight follow sinn féin"
25/02/2013,53,Kerry,Catholic,com db vdvmaestro legendarylewy mrfilipeorlando sorry realise   seat sinn fein   big   seat dup
16/06/2016,43,Antrim,Protestant,com db vdvmaestro legendarylewy mrfilipeorlando sinn fein dominant northern ireland people northern ireland vote unification wish
21/03/2016,61,Derry,Catholic,teelingbart irishma redeyes cjhumanright look ira convict getting vote office sinn fein
21/11/2020,47,Fermanagh,Atheist,invermilarne u agree mate s entitle opinionalso annoy sinn fein s member involve terrorism govtsociety wrongshootbomb kill ur take hand   cudnt 🤬 🤬
07/10/2014,43,Leitrim,Catholic,caittrainor revisionist counter revolutionary party sinn fein opportunity use vol bobby sand invoke support administer occupation fight
19/01/2021,30,Louth,Atheist,sinn féin personnel millionaire millionaire people glass house not throw stone
15/09/2022,50,Cavan,Atheist,"donal fgsupporter patrick donalvti paddycosgrave fiannafailparty finegael irishtimes newstalkfm sinn fein voter memory sinn fein flag minister year ago oligarch ireland s point condemn practice 

 argue sameif power know"
28/02/2019,36,Galway,Protestant,anmailleach selling point sinn fein stand have
12/04/2018,31,Cork,Other,"absolutely delighted elect sinn féin ard chomhairle today navan north leinster cavan monaghan cúige agm 

 listen energise matt carthy amp chris macmanus discuss importance deliver real republican politic"
22/06/2022,37,Waterford,Protestant,youngireland load nonsense sinn fein prochoice sinn fein voter 🤔
10/09/2018,31,Westmeath,Catholic,adstack sinnfeinireland suggest killer official member sinn féin slanderous claim
19/04/2015,37,Offaly,Protestant,likely sinn fein local election dup lose prime position ni remain delight advantage eu trade
03/02/2021,36,Cavan,Protestant,"lennonbradysf not sinn féin charge   year s change exactly sf minister equal power unionist minister 

"
19/09/2015,50,Sligo,Protestant,redeyes andreemurphy simoncoveney unionism sinn fein condemn know
28/05/2019,22,Monaghan,Catholic,"sinn fein style 
 money 
 fuck place"
16/11/2019,39,Cork,Catholic,rfwalsh bobmoorebm brianstanleysf follow thread start sinn fein td m mention sinn fein m answer sinn fein
23/05/2020,37,Galway,Catholic,colmcarthy mattcarthy sinnfeinireland sinnfeinelectio meathsinnfein cavansinnfein paulinetullytd cllrcathyb cllrpearse caoimhesloan macmanuschris sinnfeinlouth meathsinnfein colm
03/01/2019,56,Monaghan,Protestant,"nicholamallon 
 drunk 
 attack sinn féin"
08/11/2020,51,Derry,Protestant,hanker past say woman party constantly glorify action ira past sinn féin hypocrisy know bound
28/11/2015,30,Leitrim,Other,sinn féin believe live die day partition mcdonald say bit odd leave government work united ireland good idea surely sinn féin fear
26/08/2021,62,Wicklow,Protestant,constant refrain sinn féin government prepare unity exhortation equally direct party
26/04/2013,56,Sligo,Catholic,sinn féin politician increasingly acknowledge conscious danger complacency keen preserve party outsider status
22/10/2022,25,Kerry,Catholic,sinn féin clearly drive seat lead administration time lag election party uncertain route government mean achieve outcome mean foregone conclusion
08/08/2017,36,Cork,Atheist,mary lou mcdonald head sizeable sinn féin delegation come washington message firstly party course government dublin secondly drive irish unity accelerate
02/06/2020,49,Roscommon,Protestant,"sinn fein gaa player sign nomination paper 
 sinn fein abuse member non political organisation like gaa 
 shame sinn fein"
17/05/2021,52,Leitrim,Catholic,palestine free palestinian ambassador jilanwahba address today sinn féin meeting dublin long amp proud history support palestinian people outline clearly ireland boycott israeli product ipsc   irepalestine
10/02/2015,23,Cork,Atheist,remember late sinn fein cllr eddie fullerton   rip th birthday
14/11/2017,33,Donegal,Protestant,banbloodsport liadhant continue single candidate vote allow hunting continue sinn fein high number vote name dup include campaign ban hunting dog
21/12/2022,37,Meath,Protestant,bobmoorebm rfwalsh brianstanleysf guess sinn fein want offer subsidy expensive evs attractive cheap ice vehicle actually buy new vehicle invest build hand ev factory 🤔
15/12/2022,44,Sligo,Other,"sdlp call thousand doctor amp nurse fire health crisis amp waste £ discriminatory covid passport 

 sinn féinsdlp vote abortion right birth baby disability 

 aontú protect right amp fight ordinary people"
20/01/2014,65,Antrim,Catholic,palestinian ambassador jilanwahba address sinn féin meeting dublin today apartheid practise israeli state palestine international community redouble effort support bds campaign irepalestine
15/11/2016,25,Cavan,Protestant,"people pocket 
 case gesture policit sinn fein"
18/06/2015,54,Derry,Catholic,tufaeilkebab   palestinian ambassador address sinn féin meeting today dublin  
07/09/2014,63,Offaly,Protestant,high court judge order president sinn fein gerry adam pay legal cost pretrial motion bring defamation action bbc ciojournalist linkedin news feed   source  
05/10/2016,54,Clare,Other,roryhearne s massive money market thank thrive fdi sector compete relatively small number unit sinn fein soc dem councillor block new house claim outrage housing shortage
01/07/2021,19,Cavan,Protestant,"sinn feinira labour green repealer abortion pusher enablers killer abortion apologist kill irish unborn baby word 

 dump sf labour pbp alliance sdlp abortion pusher killer"
16/02/2015,58,Longford,Other,pogoskyblue jamiebrysoncpni boil sinn fein sinn fein responsible leave voter british brexit irish sea border
01/02/2015,45,Meath,Protestant,"  people respond sinn féin cost living survey expose shocking reality financial pressure ordinary worker family face day 

 government act help people crisis 

 clairekerrane"
24/08/2019,26,Galway,Catholic,today    dup leader ian paisley sinn féin leader gerry adam commit form powersharing executive th engage directly time parliament building stormont taoiseach bertie ahern british prime minister tony blair
02/04/2019,42,Limerick,Protestant,adammur simonndorset simoncoveney like sinnfein press secretary
30/04/2016,45,Mayo,Catholic,boris say border irish sea form send tear bin economically nip excellent ni pira violence threat political gain good ni ira army council control sinn fein tactic ni unstable good ni
12/05/2021,29,Leitrim,Protestant,nicholamallon look like sinnfein election rally north belfast
17/09/2021,35,Westmeath,Catholic,fiorciaran richardtgarland unionist tend start negotiation point non negotiation progress mean end sideline result instead look inability negotiate blame sinnfein good ordinary unionist elect right leader
28/03/2019,28,Kerry,Protestant,newireland sinn fein
29/09/2013,53,Tipperary,Catholic,deirdre outstanding minister outstanding sinn féin candidate south belfast newbelfast balmoralsf molloy
28/09/2019,47,Westmeath,Other,sinn fein prove correct border poll tanaiste leo varadkar amp co get badly wrong frost   remark offensive irish people border community particular time torture end border poll
26/06/2021,19,Roscommon,Protestant,brianc agentp turn sinnfeinira 🥴
07/03/2014,43,Roscommon,Other,"cjhumanrights hocgfa right condemn condemn sinn fein constant celebration terrorism eulogise terrorist 

 marylawlorhrd"
05/06/2020,53,Limerick,Protestant,sinn féin daile rhetoricinstead place man rifle border
24/05/2021,42,Monaghan,Protestant,"peterabell sinn fein   ira minority support northern ireland trouble try fail violence 

 snp minority support scotland extreme separatist suggest seize control 

 encourage terrorist campaign peter"
25/11/2014,65,Armagh,Protestant,endamcclafferty nicholamallon sdlplive rich come sdlp depend unionist transfer attempt defeat sinn fein colm eastwood hatred obsession sinn fein surpass unionist
14/08/2016,63,Armagh,Catholic,jamboaldo thesnp scotgovfm hopefully republican sinn fein goon follow door
16/04/2016,57,Laois,Atheist,mcmanusdavid finegael paschald day mention sinn fein carpark
08/05/2019,33,Clare,Protestant,educatedoranje pseudointellectual element gall   doubt sinn fein republicans glad jb high profile poster boy cause say
08/07/2013,65,Meath,Catholic,"📻 sinn féin spokesperson public expenditure farrellmairead live saturdayrte today pm rteradio 

 watch  "
04/01/2015,38,Cork,Atheist,nicholamallon wonder dup day mention sinn fein
20/02/2014,48,Sligo,Protestant,odonger michaeloregan absolutely correct gerry people ask political responsibility sdlp alliance party green dup uup ff fg labour   sinn fein
19/08/2019,50,Louth,Atheist,"th march 
 belfast 
 unionism staunch publication northern whig hint condemnation recent violence 
 vileness sinn féin method dispute excuse copy"
17/08/2019,20,Tyrone,Other,hello m nichola mallon remember stand north belfast turn contest sectarian headcount sinn féin dup
15/03/2017,53,Derry,Other,davesmi declankearneysf year expose sinn fein nationalist not blind reunification strap line anymore previous sinn fein voter vote support reunification drive lead   county government
14/05/2016,58,Tyrone,Catholic,kilsally biffa focusse criminal trial sinn féin daithi mckay
29/07/2021,34,Derry,Protestant,nicholamallon jamiebrysoncpni dup   year push ni united ireland sinn fein fight hard peace poisonous irrelevant oiks like worried irrelevant s conflict
02/02/2016,63,Roscommon,Protestant,otd   march   dup leader ian paisley sinn féin leader gerry adam commit form powersharing executive engage time facetoface talk stormont irelandsstory
16/01/2017,41,Meath,Catholic,stephenmather official sinn fein sinn fein different organisation realise
27/04/2014,58,Wexford,Catholic,mjcughln tweet permit clause sinn féin propose new online protection bill line onmessage troll continue send letter discomfort bile run free sort thing 😮
26/09/2015,42,Wexford,Atheist,sinn féin politick underline issue approach irish unity irishtime
06/06/2021,53,Tipperary,Protestant,fgsupporter colinfa donal donalvti paddycosgrave fiannafailparty finegael irishtimes newstalkfm m long platform recognise sinn féin account not want openly state party affiliation bear easily recognisable hallmark whataboutery selective moral posturing
29/10/2015,57,Mayo,Catholic,el histórico ascenso del sinn féin remueve el tablero político irlandés   internacional
19/03/2022,64,Longford,Atheist,richmcloughlin tomhfh room england take fat irishman expect vote corbyn extend family vote sinn fein famine time home
20/07/2020,25,Leitrim,Protestant,jimallister elect northern ireland parliament plus collin griffith party griffith found ie sinn féin d angloirish treaty s allow ni opt free state place
28/05/2014,22,Meath,Catholic,youngireland sinn fein woke
12/02/2018,22,Clare,Protestant,"garymckernan cjhumanrights oh aye sure anytime ira kill sinn fein mlas run toilet 
 not not hear 
 poor paul quinn south armagh break bone body hear thing"
24/08/2013,63,Monaghan,Atheist,sdlp go election lose   candidate reckoningsinn fein currently   seat   beg question vote party not believe come unlikely ambition ae
28/06/2016,48,Kerry,Atheist,jamiebrysoncpni omg lot yer brexit strengthen case irish unity matter year sinn fein manage decade irony totally lose
25/05/2019,60,Offaly,Protestant,dmcbfs question ask sdlp go election lose   candidate reckoning sinn fein currently    unlikely seat sf voter aim win
13/04/2015,52,Derry,Protestant,niamhcoyle garybarr montysham mikenesbittni fuck   man like sinn fein glorify murderer opportunity   kind fuck
27/09/2020,62,Mayo,Protestant,"certain irony consider obsess border irish sea 

 dup leader urge sinn féin stop obsess border poll"
21/11/2013,28,Clare,Catholic,peechooz yes think right labour chance constituency ill vote libdem 🤢 labour libdem green plaid cymru snp yes sinn fein need coordinate effort ge ensure tory government
03/07/2019,49,Laois,Other,"absolutely disgusting 🤮 🤬 👿 

 ban blood sport ireland 

 sinn fein criticise vote foxhunt ban   changeger"
08/10/2021,18,Westmeath,Catholic,timmckane bbcnolan point term bias sinn fein boycotts certain angle say true point view potentially smart course hear view amp voice
23/11/2013,22,Sligo,Catholic,stephenmather sinn fein apologist russian decade   think delete post website whitewash history fortunately truth come
18/05/2016,28,Laois,Catholic,kenkardashain jamiebrysoncpni nicola mallon sdlp sinn fein 🤦
30/05/2020,34,Clare,Catholic,mjcughln royal family irish sinn fein   ☘ ️ 🇬 🇧
18/08/2018,36,Wicklow,Protestant,colinfa donal donalvti paddycosgrave fiannafailparty finegael irishtimes newstalkfm opposition labour party soc dem clear categoric russian aggression unlike sinn féin say russian military buildup come fence invasion actually start
06/07/2017,45,Carlow,Catholic,richardtgarland jamiebrysoncpni troll account wee sinn fein activist run   account straight horse mouth text harass protestant unionist nice young girl inform drunk 🤟 🤟 pity fake vote
17/08/2016,58,Derry,Protestant,"irish 

 vote sinn féin number"
09/11/2013,35,Limerick,Protestant,"irish 

 vote sinn féin number"
22/09/2019,65,Down,Protestant,"willismarshal beattiedoug unfortunately wrong sinn féin sdlp electorally ira ceasefire 

 start rise popularity nationalist community party"
16/10/2019,64,Galway,Protestant,sinn fein criticise vote foxhunt ban   changeaus
02/02/2018,54,Meath,Protestant,davidyoungpa nicholamallon vote sinn fein sole message election th minister result sdlp wipe know
11/09/2017,63,Derry,Catholic,maybe reading irish history sinn féin push united ireland partition divide bizarre
29/06/2014,59,Kildare,Protestant,nicholamallon jamiebrysoncpni like stand election westminster vote nicholamallon   oh right stand aside ensure absentee sinnfeinira spokesman elect instead incitement maybe look close home
25/09/2015,60,Dublin,Catholic,cathy guyopperman conservative nlandtories britainelect barryflux thejournalnew hexhamcourant oliverdowden richardmwca waynedaleyuk dup lose election forecast sinn féin win propose indy vote rejoin republic
13/03/2016,57,Cavan,Protestant,"andree murphy fringe commentator amp sinn fein activist party control ira outraged 

 positive"
